//==============================================================================
//Monster Artificial Intellegence Group [KOR]
//#Dao Van Trong - Trong.CF
//------------------------------------------------------------------------------
//Revision 10 Mar, 2011
//==============================================================================
//±×·ì¿¡ Æ÷ÇÔµÇ´Â ¸ó½ºÅÍµéÀÇ ¹øÈ£¸¦ ±ÔÁ¤
//ÃÊ±â ½ÃÀÛ À§Ä¡¿Í ¹æÇâÀ» °áÁ¤

//Rank : -1 [·©Å©¾øÀ½] 0 [´ëÀå]
//StartCreation : -1 [»ý¼º¾ÈÇÔ] 0 [½ÃÀÛÀ§Ä¡»ý¼º] 1 [½ÃÀÛÀ§Ä¡·£´ý»ý¼º]
//RegenType : 1 [¼ÒÈ¯] 0 [±âº»¸®Á¨] -1 [¸®Á¨¾ÈÇÔ]

//------------------------------------------------------------------------------------------------------------------------------//
// 	Group	Nro	GClass	Rank	AI	??	??	??	Create	Map	X1	Y1	Dir	Regenerate	//
//------------------------------------------------------------------------------------------------------------------------------//
0
	1	0	340	0	10	11	31	2	0	34	110	77	-1	1
	1	1	341	-1	10	1	1	1	0	34	108	73	-1	1
	1	2	341	-1	10	1	1	1	0	34	110	73	-1	1
	1	3	341	-1	10	1	1	1	0	34	112	73	-1	1
	1	4	341	-1	10	1	1	1	0	34	109	75	-1	1
	1	5	341	-1	10	1	1	1	0	34	111	75	-1	1
	2	0	340	0	10	12	32	2	0	34	125	77	-1	1
	2	1	341	-1	10	1	1	1	0	34	125	73	-1	1
	2	2	341	-1	10	1	1	1	0	34	123	73	-1	1
	2	3	341	-1	10	1	1	1	0	34	127	73	-1	1
	2	4	341	-1	10	1	1	1	0	34	124	75	-1	1
	2	5	341	-1	10	1	1	1	0	34	126	75	-1	1
	3	0	340	0	10	13	33	2	0	34	119	83	-1	1
	3	1	341	-1	10	1	1	1	0	34	119	77	-1	1
	3	2	341	-1	10	1	1	1	0	34	117	77	-1	1
	3	3	341	-1	10	1	1	1	0	34	121	77	-1	1
	3	4	344	-1	10	1	1	1	0	34	118	79	-1	1
	3	5	344	-1	10	1	1	1	0	34	120	79	-1	1
	3	6	345	-1	10	1	1	1	0	34	116	81	-1	1
	3	7	345	-1	10	1	1	1	0	34	119	81	-1	1
	3	8	345	-1	10	1	1	1	0	34	122	81	-1	1
	4	0	340	0	10	14	34	2	0	34	119	87	-1	1
	4	1	344	-1	10	1	1	1	0	34	119	90	-1	1
	4	2	348	-1	10	51	51	51	0	34	122	90	-1	-1
	4	3	348	-1	10	52	52	52	0	34	116	90	-1	-1
	5	0	349	0	4	4	4	4	0	34	110	79	-1	1
	6	0	340	0	10	15	35	2	0	34	77	28	-1	1
	6	1	341	-1	10	1	1	1	0	34	81	25	-1	1
	6	2	341	-1	10	1	1	1	0	34	81	27	-1	1
	6	3	341	-1	10	1	1	1	0	34	81	29	-1	1
	6	4	341	-1	10	1	1	1	0	34	79	26	-1	1
	6	5	341	-1	10	1	1	1	0	34	79	28	-1	1
	7	0	340	0	10	16	36	2	0	34	77	42	-1	1
	7	1	341	-1	10	1	1	1	0	34	79	38	-1	1
	7	2	341	-1	10	1	1	1	0	34	81	37	-1	1
	7	3	341	-1	10	1	1	1	0	34	81	39	-1	1
	7	4	341	-1	10	1	1	1	0	34	81	41	-1	1
	7	5	341	-1	10	1	1	1	0	34	79	40	-1	1
	8	0	340	0	10	17	37	2	0	34	70	34	-1	1
	8	1	341	-1	10	1	1	1	0	34	77	31	-1	1
	8	2	341	-1	10	1	1	1	0	34	77	33	-1	1
	8	3	341	-1	10	1	1	1	0	34	77	35	-1	1
	8	4	344	-1	10	1	1	1	0	34	75	32	-1	1
	8	5	344	-1	10	1	1	1	0	34	75	34	-1	1
	8	6	345	-1	10	1	1	1	0	34	73	33	-1	1
	8	7	345	-1	10	1	1	1	0	34	73	29	-1	1
	8	8	345	-1	10	1	1	1	0	34	73	37	-1	1
	9	0	340	0	10	18	38	2	0	34	65	34	-1	1
	9	1	344	-1	10	1	1	1	0	34	62	34	-1	1
	9	2	348	-1	10	53	53	53	0	34	62	37	-1	-1
