//==============================================================================
//Monster Set Base File [KOR]
//#www.darksideofmu.com
//by DaRKav (darkav@hotmail.com)
//------------------------------------------------------------------------------
//Revision 25 Apr, 2008		
//==============================================================================
//0 - Guards / NPC / Traps
//1 - Spots
//2 - Normal Monster
//3 - Bone King / Golden Monsters
//4 - Blood Castle Monsters / Gate / Others

//=========================================================================================
//	Invasion Golden
//=========================================================================================
//Mob	Map	Radio	CordX	CordY	CordX2	CordY2	Dir 	Quant  Name	
3
43	3	30	10	10	240	240	-1	4	//Golden Budge Dragon
44	0	30	182	128	195	145	-1	7	//Golden Dragon
53	0	30	185	132	185	132	-1	2	//Golden Titan
55	0	30	132	83	132	83	-1	2	//Death King
54	0	30	183	128	188	135	-1	15	//Golden Soldier
56	0	30	132	83	138	90	-1	15	//Death Bone
78	0	30	10	10	240	240	-1	2	//Golden Goblin
79	0	30	10	10	240	240	-1	4	//Golden Dragon
80	0	30	185	132	185	132	-1	2	//Golden Lizard King
81	0	30	132	83	132	83	-1	7	//Golden Vepar
82	0	30	183	128	188	135	-1	2	//Golden Tantallos
83	0	30	132	83	138	90	-1	15	//Golden Iron Wheel
end

//=========================================================================================						
//	Lorencia NPCs						
//=========================================================================================						
//Mob	Map	Rad	X	Y	Str	Name
0
226	0	0	122	110	3	//Trainer
230	0	0	62	130	3	//Alex
240	0	0	146	110	3	//Baz, Storage Guard
240	0	0	147	145	1	//Baz, Storage Guard
248	0	0	6	145	2	//Florence Peddler
249	0	10	131	88	1	//Berdysh Guard
249	0	20	173	125	3	//Berdysh Guard
249	0	20	94	125	7	//Berdysh Guard
249	0	20	94	130	7	//Berdysh Guard
249	0	30	131	148	1	//Berdysh Guard
250	0	0	183	137	2	//Harold, Wandering 
251	0	0	116	141	3	//Hanzo, Blacksmith
253	0	0	127	86	2	//Amy, Potion Girl
254	0	0	118	113	3	//Pasi, Wizard
255	0	0	123	135	1	//Liaman, Barmaid 
257	0	0	130	128	3	//Elf Soldier
247	0	0	114	125	3	//Crosbow Guard	//

257	0	0	96	129	1	//Elf Soldier
257	0	0	174	129	1	//Elf Soldier
406	0	0	137	121	3       // Priend devil (3 Quest)
					
256	0	0	130	126	3	//JewelMix
379	0	0	130	121	3	//Fireworks Girl

478	0	0	129	118	3	//Lucky Coins

452	0	0	150	139	1	//Seed Jewel creator
479	0	0	131	147	1	//Chaos Card Master
//479	0	0	135	135	1	//Gatekeeper Titus


end

//=========================================================================================						
//	Devias NPCs						
//=========================================================================================						
//Mob	Map	Rad	X	Y	Str	Name
0
229	2	0	183	30	3	//Marlon
231	2	0	8	77	3	//Thomson Cannel
233	2	0	209	30	1	//Spirit of Archangel
233	2	0	219	9	3	//Spirit of Archangel
235	2	0	183	32	3	//Priest Sevina
236	2	0	226	66	1	//Golden Archer
240	2	0	218	63	2	//Baz, Storage Guard
241	2	0	215	45	1	//Lawrence, Commander
244	2	0	226	25	3	//Lumen, Barmaid
245	2	0	225	41	3	//Isabel, Wizard
246	2	0	186	47	3	//Zienna
247	2	20	169	39	7	//Crossbow Guard
247	2	20	169	45	7	//Crossbow Guard
247	2	20	219	79	5	//Crossbow Guard
247	2	20	224	79	5	//Crossbow Guard
256	2	0	191	17	3	//Lahap
257	2	0	219	76	3	//Elf Soldier
371	2	0	212	63	2	//Elite Soldier
379	2	0	13	28	2	//Fireworks Girl

385	2	0	226	58	1	//Alchemist [Illusion NPC]
450	2	0	231	59	1	//Governor Blossom [Sky Event]
522	2	0	229	221	1	//Imperial Guardian Npc
end

//=========================================================================================						
//	Noria NPCs						
//=========================================================================================						
//Mob	Map	Rad	X	Y	Str	Name
0
237	3	0	171	104	3	//Charon
238	3	0	180	103	1	//Chaos Goblin
240	3	0	172	96	3	//Baz, Storage Guard
242	3	0	173	125	1	//Elf Lala
243	3	0	195	124	2	//Eo, Craftsman 
257	3	0	167	118	1	//Elf Soldier
453	3	0	166	100	3	//Seed Spear Research
end												

//=========================================================================================						
//	Lost Tower NPCs						
//=========================================================================================						
//Mob	Map	Rad	X	Y	Str	Name
//NONE

//=========================================================================================						
//	Stadium NPCs						
//=========================================================================================						
//Mob	Map	Rad	X	Y	Str	Name
0						
200	6	6	63	160	1	//Soccer Ball
239	6	6	72	164	1	//Stadium Guard
240	6	0	63	49	1	//Storage Guard
247	6	0	60	117	1	//Crossbow Guard
247	6	0	66	117	1	//Crossbow Guard
247	6	0	102	114	7	//Crossbow Guard
247	6	0	102	116	7	//Crossbow Guard
247	6	0	102	118	7	//Crossbow Guard
end

//=========================================================================================						
//	Icarus NPCs						
//=========================================================================================						
//Mob	Map	Rad	X	Y	Str	Name
//NONE

//=========================================================================================						
//	Aida NPCs						
//=========================================================================================						
//Mob	Map	Rad	X	Y	Str	Name
0						
369	33	0	80	14	3	//Osborne
370	33	0	86	13	2	//Jeridon
end						

//=========================================================================================						
//	Kalima - NPCs						
//=========================================================================================						
//Mob	Map	Rad	X	Y	Str	Name
0						
259	24	0	19	31	1	//Kalnac [Kalima 1]
259	25	0	19	31	1	//Kalnac [Kalima 2]
259	26	0	19	31	1	//Kalnac [Kalima 3]
259	27	0	19	31	1	//Kalnac [Kalima 4]
259	28	0	19	31	1	//Kalnac [Kalima 5]
259	29	0	19	31	1	//Kalnac [Kalima 6]
259	36	0	19	31	1	//Kalnac [Kalima 7]
end				

//=========================================================================================						
