//ItemIndex	ItemSubGroup	ItemSubIndex	szModelFolder	szModelName	szItemName	KindA	KindB	Type	TwoHands	DropLevel	Slot	SkillIndex	Width	Height	DamageMin	DamageMax	DefenseRate	Defense	MagicResistance	AttackSpeed	WalkSpeed	Durability	MagicDur	MagicPower	ReqStr	ReqDex	ReqEne	ReqVit	ReqCmd	ReqLvl	ItemValue	Money	SetAttr	DW	DK	FE	MG	DL	SU	RF	GL	RW	SL	GC	Resist[0]	Resist[1]	Resist[2]	Resist[3]	Resist[4]	Resist[5]	Resist[6]	Dump	Transaction	PersonalStore	Warehouse	SellNpc	Expensive	Repair	Overlap	PcFlag	MuunFlag	Unk_End[0]	Unk_End[1]	Unk_End[2]
0	0	0	"Data\Item\"	"sword01.bmd"	"Kris"	1	1	1	0	6	0	0	1	2	6	11	0	0	0	50	0	20	0	0	40	40	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	0
1	0	1	"Data\Item\"	"sword02.bmd"	"Short Sword"	1	1	1	0	3	0	0	1	3	3	7	0	0	0	20	0	22	0	0	60	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	0
2	0	2	"Data\Item\"	"sword03.bmd"	"Rapier"	1	1	1	0	9	0	0	1	3	9	15	0	0	0	40	0	23	0	0	50	40	0	0	0	0	0	0	1	0	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	0
3	0	3	"Data\Item\"	"sword04.bmd"	"Katana"	1	1	1	0	16	0	20	1	3	16	26	0	0	0	35	0	27	0	0	80	40	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	0
4	0	4	"Data\Item\"	"sword05.bmd"	"Sword of Assassin"	1	1	1	0	12	0	21	1	3	12	18	0	0	0	30	0	24	0	0	60	40	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	0
5	0	5	"Data\Item\"	"sword06.bmd"	"Blade"	1	1	1	0	36	0	22	1	3	36	47	0	0	0	30	0	39	0	0	80	50	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	0
6	0	6	"Data\Item\"	"sword07.bmd"	"Gladius"	1	1	1	0	20	0	20	1	3	20	30	0	0	0	20	0	30	0	0	110	0	0	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	0
7	0	7	"Data\Item\"	"sword08.bmd"	"Falchion"	1	1	1	0	24	0	21	1	3	24	34	0	0	0	25	0	34	0	0	120	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	0
8	0	8	"Data\Item\"	"sword09.bmd"	"Serpent Sword"	1	1	1	0	30	0	21	1	3	30	40	0	0	0	20	0	36	0	0	130	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	0
9	0	9	"Data\Item\"	"sword10.bmd"	"Sword of Salamander"	1	1	1	1	32	0	20	2	3	32	46	0	0	0	30	0	40	0	0	103	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	0
